gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2988494639	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/55655383	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Limnoperna	Limnoperna fortunei		SPECIES	Limnoperna fortunei (Dunker, 1857)	Limnoperna fortunei		AR		Santa Fe	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-31.664501	-60.756241							2020-08-06T10:27:00	6	8	2020	5855350	5855350	HUMAN_OBSERVATION	iNaturalist	Observations	55655383		Leonardo Adrián LEIVA	2020-08-07T00:22:10	CC_BY_NC_4_0	Leonardo Adrián LEIVA	Leonardo Adrián LEIVA			2020-12-10T18:26:40.722Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2984453018	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/64738914	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Limnoperna	Limnoperna fortunei		SPECIES	Limnoperna fortunei (Dunker, 1857)	Limnoperna fortunei		BR			PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-27.309596	-52.102021	61.0						2020-06-27T11:29:00	27	6	2020	5855350	5855350	HUMAN_OBSERVATION	iNaturalist	Observations	64738914		Frederico Acaz Sonntag	2020-11-12T17:48:31	CC_BY_NC_4_0	Frederico Acaz Sonntag	Frederico Acaz Sonntag			2020-12-10T18:28:10.764Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2984354738	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/64499479	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Limnoperna	Limnoperna fortunei		SPECIES	Limnoperna fortunei (Dunker, 1857)	Limnoperna fortunei		AR		Buenos Aires	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-34.860164	-57.876459	1524.0						2020-11-08T15:53:00	8	11	2020	5855350	5855350	HUMAN_OBSERVATION	iNaturalist	Observations	64499479		Juan Matías	2020-11-09T04:24:27	CC_BY_NC_4_0	Juan Matías	Juan Matías			2020-12-10T18:28:26.864Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2898273170	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/62549860	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Limnoperna	Limnoperna fortunei		SPECIES	Limnoperna fortunei (Dunker, 1857)	Limnoperna fortunei		BR		São Paulo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-20.829037	-50.546071	417.0						2020-10-11T16:27:00	11	10	2020	5855350	5855350	HUMAN_OBSERVATION	iNaturalist	Observations	62549860		Rafael Rosa	2020-10-14T11:55:16	CC_BY_NC_4_0	Márcia Cristina Martins da Silva	Márcia Cristina Martins da Silva			2020-12-10T18:27:52.539Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2884531309	51c49096-dc31-4077-b35c-4510a8ee1ee8	3fae5b43-131d-11eb-a93b-06f21c000156	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Limnoperna	Limnoperna fortunei		SPECIES	Limnoperna fortunei (Dunker, 1857)			CN	Poyang Lake [Poyang Hu], [point estimated 4.72 air miles SE center Kangshan].	Jiangxi	PRESENT	22	69e7f900-ed5b-11dd-ac7e-b8a03c50a862	28.84	116.491997	805.0						2008-01-01T00:00:00			2008	5855350	5855350	PRESERVED_SPECIMEN	NCSM	NCSM-UNIO	113643		Arthur E Bogan/6May2019		CC0_1_0	Noth Carolina Museum of Natural Sciences				2020-11-26T18:29:08.796Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2874007685	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/61255593	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Limnoperna	Limnoperna fortunei		SPECIES	Limnoperna fortunei (Dunker, 1857)	Limnoperna fortunei		AR		Santa Fe	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-31.659614	-60.756937	4.0						2020-09-28T15:50:00	28	9	2020	5855350	5855350	HUMAN_OBSERVATION	iNaturalist	Observations	61255593		Eduardo Luis Beltrocco	2020-09-29T22:49:17	CC_BY_NC_4_0	Eduardo Luis Beltrocco	Eduardo Luis Beltrocco			2020-12-10T18:39:18.506Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2860058214	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/58284331	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Limnoperna	Limnoperna fortunei		SPECIES	Limnoperna fortunei (Dunker, 1857)	Limnoperna fortunei		AR		Santa Fe	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-31.666302	-60.754477							2020-08-06T08:50:00	6	8	2020	5855350	5855350	HUMAN_OBSERVATION	iNaturalist	Observations	58284331		Eduardo Luis Beltrocco	2020-09-01T22:13:42	CC_BY_NC_4_0	Eduardo Luis Beltrocco	Eduardo Luis Beltrocco			2020-12-10T18:26:22.307Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2823208492	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/53969046	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Limnoperna	Limnoperna fortunei		SPECIES	Limnoperna fortunei (Dunker, 1857)	Limnoperna fortunei		AR		Buenos Aires	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-33.597518	-59.808151	44.0						2009-01-10T11:29:00	10	1	2009	5855350	5855350	HUMAN_OBSERVATION	iNaturalist	Observations	53969046		Nicolas Olejnik	2020-07-22T17:26:09	CC_BY_NC_4_0	Nicolas Olejnik	Nicolas Olejnik			2020-12-10T18:38:59.519Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2620176844	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/44807946	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Limnoperna	Limnoperna fortunei		SPECIES	Limnoperna fortunei (Dunker, 1857)	Limnoperna fortunei		AR		Santa Fe	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-32.910353	-60.674343	2.0						2020-04-20T08:17:00	20	4	2020	5855350	5855350	HUMAN_OBSERVATION	iNaturalist	Observations	44807946		demianlescano	2020-05-03T22:36:26	CC_BY_NC_4_0	demianlescano	demianlescano			2020-12-10T18:25:10.397Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
2619926407	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/38905060	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Limnoperna	Limnoperna fortunei		SPECIES	Limnoperna fortunei (Dunker, 1857)	Limnoperna fortunei		AR		Córdoba	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-32.210337	-64.471828	488.0						2018-03-16T17:35:00	16	3	2018	5855350	5855350	HUMAN_OBSERVATION	iNaturalist	Observations	38905060		Cristian Lagger	2020-02-20T16:43:26	CC_BY_NC_4_0	Cristian Lagger	Cristian Lagger			2020-12-10T18:25:10.156Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
